filename,width,height,total_samples,duration_sec,motion_min,motion_max,motion_mean,motion_median,motion_p90,motion_p95,motion_p99,scene_diff_min,scene_diff_max,scene_diff_mean,scene_diff_median,scene_diff_p90,scene_diff_p95,scene_diff_p99,run_diff_min,run_diff_max,run_diff_mean,run_diff_median,run_diff_p90,run_diff_p95,run_diff_p99,max_contour_min,max_contour_max,max_contour_mean,max_contour_median,max_contour_p90,max_contour_p95,max_contour_p99,brightness_mean
2026-07-02-13-01.mp4,640,360,37,540.0,0.0,0.0078,0.0004,0.0,0.0,0.0016,0.0078,0.0,0.0078,0.002,0.0026,0.0039,0.0044,0.0067,0.0,0.0078,0.0005,0.0,0.0025,0.0031,0.0063,0.0,0.0041,0.0002,0.0,0.0,0.0008,0.0041,91.8986
2026-07-02-13-11.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9078
2026-07-02-13-21.mp4,640,360,37,540.0,0.0,0.0252,0.0013,0.0,0.0,0.0048,0.0247,0.0,0.0239,0.0006,0.0,0.0,0.0,0.0153,0.0,0.0247,0.0007,0.0,0.0,0.0,0.0158,0.0,0.0187,0.001,0.0,0.0,0.0036,0.0184,91.9854
2026-07-02-13-31.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9697
2026-07-02-13-41.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.927
2026-07-02-13-51.mp4,640,360,37,540.0,0.0,0.0078,0.0004,0.0,0.0,0.0016,0.0078,0.0,0.0078,0.0002,0.0,0.0,0.0004,0.0051,0.0,0.0078,0.0002,0.0,0.0,0.0,0.005,0.0,0.0041,0.0002,0.0,0.0,0.0008,0.0041,91.9241
2026-07-02-14-01.mp4,640,360,37,540.0,0.0,0.0078,0.0006,0.0,0.0,0.0075,0.0078,0.0,0.0078,0.0046,0.0078,0.0078,0.0078,0.0078,0.0,0.0078,0.0011,0.0,0.0078,0.0078,0.0078,0.0,0.0041,0.0003,0.0,0.0,0.0039,0.0041,91.8392
2026-07-02-14-11.mp4,640,360,37,540.0,0.0,0.5286,0.0279,0.0,0.0,0.101,0.52,0.0,0.5221,0.0142,0.0,0.0004,0.0004,0.3343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956,0.0159,0.0,0.0,0.0588,0.2951,92.27
2026-07-02-14-21.mp4,640,360,37,540.0,0.0,0.0039,0.0002,0.0,0.0,0.0009,0.0036,0.0,0.0035,0.0002,0.0,0.0008,0.0013,0.0027,0.0,0.0035,0.0001,0.0,0.0,0.0004,0.0024,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,92.4627
2026-07-02-14-31.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3749
2026-07-02-14-41.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.6665
2026-07-02-14-51.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7427
2026-07-02-15-01.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7105
2026-07-02-15-11.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8608
2026-07-02-15-21.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9246
2026-07-02-15-31.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9281
2026-07-02-15-41.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9595
2026-07-02-15-51.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7908
2026-07-02-16-01.mp4,640,360,37,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8381
2026-07-02-16-11.mp4,640,360,37,540.0,0.0,0.1107,0.0051,0.0,0.0,0.0156,0.099,0.0,0.3008,0.1735,0.2799,0.2922,0.2939,0.2991,0.0,0.2934,0.0368,0.0,0.1828,0.2768,0.2915,0.0,0.041,0.0022,0.0,0.0,0.0082,0.041,92.7586
2026-07-02-16-21.mp4,640,360,37,540.0,0.0,2.9466,0.1788,0.0061,0.4996,1.0557,2.3372,0.0,3.5812,1.9829,3.2092,3.5287,3.5634,3.5774,0.0,3.3472,0.6755,0.0582,2.9624,3.1698,3.3128,0.0,0.6098,0.0488,0.0026,0.2065,0.3175,0.5049,92.0976
2026-07-02-16-31.mp4,640,360,37,540.0,0.0,47.4865,5.1746,0.3316,16.8599,26.3553,46.7534,0.0,46.0017,27.5528,34.7682,39.8313,39.9345,43.8389,0.0,39.8016,10.1163,6.7118,30.7589,38.8826,39.6735,0.0,22.0981,1.892,0.2059,2.7105,8.0899,21.8768,93.973
2026-07-02-16-41.mp4,640,360,37,540.0,0.0,6.6697,2.1983,1.951,4.7425,4.9569,6.2555,0.0,9.1445,4.4357,4.8837,7.6696,7.9723,8.7858,0.0,4.4301,1.3119,0.8229,3.9276,4.298,4.4028,0.0,3.6072,1.5334,1.2743,3.2511,3.3879,3.5752,94.3727
2026-07-02-16-51.mp4,640,360,37,540.0,0.0,5.9562,1.6323,1.536,2.6601,3.2931,5.0977,0.0,6.9136,3.5598,3.8681,5.7022,6.5327,6.8205,0.0,4.6128,1.0993,0.6046,2.4552,3.5135,4.3558,0.0,2.6148,1.2087,1.248,2.209,2.4124,2.5871,94.6332
2026-07-02-17-01.mp4,640,360,37,540.0,0.0,7.3941,1.8801,1.737,4.0029,5.6398,6.8082,0.0,8.5564,4.0056,3.3802,8.2593,8.3261,8.5042,0.0,6.7717,2.158,1.8668,5.6575,6.4674,6.6651,0.0,4.178,1.1246,1.2005,2.3867,2.8357,3.8603,94.767
2026-07-02-17-11.mp4,640,360,37,540.0,0.0,44.2635,4.1765,1.0872,7.4832,25.1654,43.3402,0.0,41.5668,25.8994,28.7891,30.6364,32.3573,40.6665,0.0,23.1914,2.6832,0.306,6.69,9.3375,20.7862,0.0,20.1868,1.8872,0.5451,1.6999,13.582,19.5531,95.5816
2026-07-02-17-21.mp4,640,360,37,540.0,0.0,50.1011,2.8075,0.9332,4.5303,5.6459,34.9967,0.0,47.7322,15.8992,8.7626,47.3643,47.6057,47.7089,0.0,50.2639,8.8219,1.6576,48.2989,49.5076,50.0577,0.0,22.207,1.2077,0.5497,1.6461,1.721,14.8783,94.7665
2026-07-02-17-31.mp4,640,360,37,540.0,0.0,2.303,0.1852,0.0061,0.3495,1.4048,2.2262,0.0,0.9397,0.6087,0.8398,0.9195,0.9296,0.9364,0.0,0.3602,0.0924,0.0139,0.3295,0.3425,0.3588,0.0,1.2977,0.0876,0.0026,0.1378,0.4523,1.2208,90.6397
2026-07-02-17-41.mp4,640,360,37,540.0,0.0,44.128,2.8946,0.0104,4.4395,9.9833,38.8749,0.0,48.6293,20.6763,0.0204,45.4875,47.1158,48.5443,0.0,44.4948,7.6988,0.0052,43.6861,44.3357,44.4821,0.0,23.9303,1.1289,0.0061,1.4738,2.5694,17.4826,93.5719
2026-07-02-17-51.mp4,640,360,37,540.0,0.0,4.4844,1.3487,1.3281,3.0718,3.669,4.3724,0.0,7.0907,2.4757,2.227,5.2632,6.0572,6.8715,0.0,4.5117,1.0829,0.5234,2.8812,3.4702,4.1769,0.0,3.4468,0.7633,0.5039,1.911,2.1339,3.0313,95.9059
2026-07-02-18-01.mp4,640,360,37,540.0,0.0,3.4249,0.7277,0.3602,1.8223,2.1111,3.0649,0.0,4.2865,1.3014,1.4436,3.1609,3.5152,4.0132,0.0,2.6172,0.6363,0.0022,1.6545,1.9884,2.488,0.0,1.5953,0.3924,0.2072,1.1064,1.2404,1.5536,95.9378
2026-07-02-18-11.mp4,640,360,37,540.0,0.0,49.4913,3.6587,0.8003,4.3097,14.1178,48.4972,0.0,45.9653,16.1106,21.8229,22.6079,23.1123,37.9556,0.0,46.4657,5.5762,1.2431,23.7766,24.6525,38.7382,0.0,24.2316,1.7345,0.424,1.2772,5.899,24.0393,97.5189
2026-07-02-18-21.mp4,640,360,37,540.0,0.0,52.6341,4.9912,1.8615,7.1945,17.373,51.1052,0.0,45.944,12.6088,8.2886,26.2085,26.3738,39.0838,0.0,47.9479,6.8139,4.2339,20.3368,22.189,39.3707,0.0,26.3585,2.1822,1.0929,2.2888,5.7212,23.7542,99.2303
2026-07-02-18-31.mp4,640,360,37,540.0,0.0,7.829,1.9558,1.4097,6.0667,6.9329,7.5454,0.0,14.7036,8.0339,11.059,14.1287,14.5682,14.6929,0.0,8.4553,3.5847,3.8694,7.5445,7.8202,8.3353,0.0,2.1838,0.7278,0.6267,1.775,1.8995,2.1409,101.2408
2026-07-02-18-41.mp4,640,360,37,540.0,0.0,52.2309,5.9667,3.0399,8.283,19.1366,48.4331,0.0,11.3398,7.545,8.0291,10.0721,11.0471,11.3115,0.0,7.0321,2.3455,2.8637,4.6829,5.172,6.5621,0.0,17.0312,2.6856,2.1389,3.774,9.354,16.4297,94.8897
2026-07-02-18-51.mp4,640,360,37,540.0,0.0,41.6107,2.8225,0.0004,7.7893,10.2307,33.0618,0.0,42.5786,29.549,39.3581,42.2116,42.2536,42.473,0.0,40.2209,5.9649,0.4444,32.2232,37.5745,39.6936,0.0,17.3264,1.1828,0.0,3.8712,4.323,12.8572,93.85
2026-07-02-19-01.mp4,640,360,37,540.0,0.0,1.5065,0.1336,0.0,0.3422,0.8644,1.4195,0.0,1.5582,0.3662,0.2721,0.5845,0.7274,1.366,0.0,1.2504,0.1484,0.0022,0.3582,0.4938,1.1621,0.0,0.8242,0.0679,0.0,0.1659,0.3523,0.8164,93.5989
2026-07-02-19-11.mp4,640,360,37,540.0,0.0,33.6263,2.628,0.0109,5.7069,10.5349,29.663,0.0,43.0556,16.5544,0.6471,42.8614,42.9508,43.0389,0.0,41.9744,6.9467,0.0091,33.4571,41.5488,41.9058,0.0,11.7342,0.9513,0.0059,2.4949,3.1872,8.969,93.5957
