filename,category,confidence,motion_max,motion_mean,scene_diff_max,scene_diff_mean,brightness_mean
2026-07-02-14-31.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.3749
2026-07-02-14-41.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.6665
2026-07-02-14-51.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.7427
2026-07-02-15-01.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.7105
2026-07-02-15-11.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.8608
2026-07-02-15-21.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.9246
2026-07-02-15-31.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.9281
2026-07-02-15-41.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.9595
2026-07-02-15-51.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.7908
2026-07-02-16-01.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,92.8381
2026-07-02-16-11.mp4,no_truck,0.991,0.1107,0.0051,0.3008,0.1735,92.7586
2026-07-02-16-21.mp4,no_truck,0.754,2.9466,0.1788,3.5812,1.9829,92.0976
2026-07-02-16-31.mp4,has_truck,0.791,47.4865,5.1746,46.0017,27.5528,93.973
2026-07-02-16-41.mp4,no_truck,0.5,6.6697,2.1983,9.1445,4.4357,94.3727
2026-07-02-16-51.mp4,no_truck,0.504,5.9562,1.6323,6.9136,3.5598,94.6332
2026-07-02-17-01.mp4,no_truck,0.5,7.3941,1.8801,8.5564,4.0056,94.767
2026-07-02-17-11.mp4,has_truck,0.738,44.2635,4.1765,41.5668,25.8994,95.5816
2026-07-02-17-21.mp4,has_truck,0.835,50.1011,2.8075,47.7322,15.8992,94.7665
2026-07-02-17-31.mp4,no_truck,0.808,2.303,0.1852,0.9397,0.6087,90.6397
2026-07-02-17-41.mp4,has_truck,0.735,44.128,2.8946,48.6293,20.6763,93.5719
2026-07-02-17-51.mp4,no_truck,0.626,4.4844,1.3487,7.0907,2.4757,95.9059
2026-07-02-18-01.mp4,no_truck,0.715,3.4249,0.7277,4.2865,1.3014,95.9378
2026-07-02-18-11.mp4,has_truck,0.825,49.4913,3.6587,45.9653,16.1106,97.5189
2026-07-02-18-21.mp4,has_truck,0.877,52.6341,4.9912,45.944,12.6088,99.2303
2026-07-02-18-31.mp4,no_truck,0.5,7.829,1.9558,14.7036,8.0339,101.2408
2026-07-02-18-41.mp4,has_truck,0.871,52.2309,5.9667,11.3398,7.545,94.8897
2026-07-02-18-51.mp4,has_truck,0.694,41.6107,2.8225,42.5786,29.549,93.85
2026-07-02-19-01.mp4,no_truck,0.874,1.5065,0.1336,1.5582,0.3662,93.5989
2026-07-02-19-11.mp4,has_truck,0.56,33.6263,2.628,43.0556,16.5544,93.5957
2026-07-02-19-21.mp4,no_truck,0.55,5.4045,1.7473,7.8238,3.0094,94.9778
2026-07-02-19-31.mp4,has_truck,0.619,37.1345,2.9012,42.497,17.1015,95.5165
2026-07-02-19-41.mp4,has_truck,0.738,44.3073,2.9901,44.8728,30.0696,93.5278
2026-07-02-19-51.mp4,has_truck,0.753,45.2044,5.0745,41.4262,11.8944,93.6846
2026-07-02-20-01.mp4,no_truck,0.5,6.2964,1.7307,12.0725,4.4262,93.4492
2026-07-02-20-11.mp4,has_truck,0.929,55.7279,5.0545,40.592,29.776,99.6846
2026-07-02-20-21.mp4,has_truck,1.0,64.6515,4.5687,62.4002,19.6949,101.3895
2026-07-02-20-31.mp4,no_truck,0.53,5.6441,1.0042,9.0838,4.817,104.6562
2026-07-02-20-41.mp4,has_truck,0.958,57.4575,3.4566,53.5842,14.9852,102.3473
2026-07-02-20-51.mp4,has_truck,0.5,13.2574,2.1529,10.9379,6.1972,97.1886
2026-07-02-21-01.mp4,has_truck,0.708,42.4527,3.375,40.6749,18.9214,99.627
2026-07-02-21-11.mp4,no_truck,0.616,4.6089,1.0494,10.9336,6.3088,101.5765
2026-07-02-21-21.mp4,has_truck,0.835,50.1098,4.0626,49.6918,36.4384,91.5568
2026-07-02-21-31.mp4,no_truck,0.5,8.1406,2.612,16.2669,10.5674,90.7524
2026-07-02-21-41.mp4,has_truck,0.57,34.2218,4.1085,35.0564,26.7414,98.4622
2026-07-02-21-51.mp4,has_truck,1.0,64.5113,5.749,66.4449,24.0435,116.7376
2026-07-02-22-01.mp4,has_truck,0.918,55.0829,4.6773,55.6341,19.885,140.7189
2026-07-02-22-11.mp4,has_truck,1.0,63.3581,3.3818,62.1224,19.5692,133.3141
2026-07-02-22-21.mp4,no_truck,0.663,4.049,0.3911,5.2821,1.158,128.0824
2026-07-02-22-31.mp4,no_truck,0.609,4.6949,1.1955,4.4766,1.2242,137.9792
2026-07-02-22-41.mp4,has_truck,1.0,67.4345,4.7105,59.628,32.4677,143.3508
2026-07-02-22-51.mp4,no_truck,0.5,6.8911,0.9297,8.7565,5.0289,145.0386
2026-07-02-23-01.mp4,has_truck,1.0,61.2287,4.768,52.9648,7.9251,143.143
2026-07-02-23-11.mp4,has_truck,0.5,13.3477,4.0189,22.0343,8.8828,138.8505
2026-07-02-23-21.mp4,has_truck,1.0,61.3173,5.9166,58.2899,25.7906,136.6662
