filename,arrival_timestamp_sec,duration_sec,confidence,api_calls,method,notes
2026-07-02-01-51.mp4,0.0,544.0,1.0,1,truck_at_start,
2026-07-02-02-01.mp4,0.0,547.6,1.0,1,truck_at_start,
2026-07-02-02-11.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-02-02-21.mp4,0.0,547.2,1.0,1,truck_at_start,
2026-07-02-02-31.mp4,0.0,547.3,1.0,1,truck_at_start,
2026-07-02-02-41.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-02-02-51.mp4,290.8,549.5,1.0,11,binary_search,
2026-07-02-03-01.mp4,0.0,548.9,1.0,1,truck_at_start,
2026-07-02-03-11.mp4,531.5,549.8,1.0,11,binary_search,
2026-07-02-03-21.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-02-03-31.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-02-03-41.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-02-04-51.mp4,379.1,549.8,1.0,11,binary_search,
2026-07-02-05-01.mp4,0.0,549.6,1.0,1,truck_at_start,
2026-07-02-05-31.mp4,0.0,549.0,1.0,1,truck_at_start,
2026-07-02-05-41.mp4,0.0,546.5,1.0,1,truck_at_start,
2026-07-02-05-51.mp4,0.0,548.8,1.0,1,truck_at_start,
2026-07-02-06-01.mp4,169.4,548.9,1.0,11,binary_search,
2026-07-02-06-11.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-02-06-31.mp4,305.0,547.9,1.0,11,binary_search,
2026-07-02-06-41.mp4,0.0,546.4,1.0,1,truck_at_start,
2026-07-02-07-01.mp4,410.6,547.5,1.0,11,binary_search,
2026-07-02-07-11.mp4,0.0,545.5,1.0,1,truck_at_start,
2026-07-02-07-21.mp4,0.0,546.2,1.0,1,truck_at_start,
2026-07-02-07-31.mp4,0.0,545.0,1.0,1,truck_at_start,
2026-07-02-07-41.mp4,0.0,546.3,1.0,1,truck_at_start,
2026-07-02-07-51.mp4,0.0,546.4,1.0,1,truck_at_start,
2026-07-02-08-01.mp4,0.0,546.0,1.0,1,truck_at_start,
2026-07-02-08-11.mp4,0.0,545.4,1.0,1,truck_at_start,
